"hz","acceptance_rate","trans_prob_med","obs_size_med","E0_med","frac_neff_med","N_eff_med","R0_med","n_particles_used","loglik_var_at_n_prod","loglik_var_target","rhat_log_trans_prob","ess_bulk_log_trans_prob","ess_tail_log_trans_prob","rhat_log_obs_size","ess_bulk_log_obs_size","ess_tail_log_obs_size","rhat_log_E0","ess_bulk_log_E0","ess_tail_log_E0","rhat_logit_frac_neff","ess_bulk_logit_frac_neff","ess_tail_logit_frac_neff","cover_50","cover_95"
"alunguli",0.162176580421446,0.01218375191199,3.84867756836211,12.6885129214391,0.155925507177836,14673.993554999,4.98540126714409,200,0.0321087106096387,2,1.00348652160304,809.386580351654,1130.63884588188,1.00371622342078,532.254719422546,653.743963955894,1.00515753748632,866.480140832399,958.835675396601,1.00133702417319,929.048107769436,1420.38976319348,0.475,0.875
"bumbu",0.235707299724371,0.000741721137837158,1.11143999887586,35.550588787715,0.417245534534393,236707.981442241,0.831706121213706,200,0.0442616965904989,2,1.00948803931609,261.769953186273,581.301335649218,1.00975532752314,581.287003466278,667.901388966932,1.00328438338508,682.785250005629,879.33980907709,1.00695152417505,253.212636494882,496.469429908547,0.4375,0.90625
"goma",0.404907975460123,0.0412505748737725,7.29851219904434,21.0075715957087,0.0480839264441092,14237.4582843949,5.23934640408645,200,0.0648470483595776,2,1.0021533608101,3176.03428459309,4040.04503421309,1.00402550882165,1412.13305895608,1730.34857415895,1.00073680000873,3074.76189423779,3797.10767133232,1.00514244462406,1574.14817537743,1872.4987423251,0.5,0.847826086956522
"kindu",0.437094336267449,0.0170978468399536,3.36872216631062,13.9387690145502,0.0751585761409089,16152.8557084757,3.38557319789465,200,0.0344249100663192,2,1.00129661445312,2576.67459853271,2846.29207772733,1.00166514427108,1976.03387162281,2770.75019475235,1.00163339117174,2126.51148685198,3137.04150327152,1.00107797297107,2245.55236331329,2807.07404129081,0.45,0.95
"kingabwa",0.226816039832844,0.000388291917335642,1.2300259065126,97.7791050985076,0.784378055993453,225175.33042432,0.763432095293909,200,0.0746659972188203,2,1.05265441763228,74.2376135235479,265.799886727091,1.006615652204,628.436105047477,525.476672764278,1.00960440825003,478.414065468474,767.602886861739,1.05681456940958,54.2446589699811,248.934994763247,0.37037037037037,1
"kirotshe",0.104383391126523,0.00168538132521699,4.41759119338477,27.4150945756897,0.41380523082285,213416.323549808,1.90083393682911,200,0.0755945189522011,2,1.01757301767652,181.612299023861,259.93502283364,1.01290474133226,316.942255053052,556.113918219062,1.00828420522287,333.727144942346,410.029253232286,1.00803079449094,174.072883432872,232.867817025874,0.434782608695652,0.847826086956522
"kokolo",0.306481728460923,0.000263009740372287,1.09851489281913,533.681152683875,0.830029470385113,304620.815631336,0.567183219174002,200,0.0319067152884478,2,1.25908772059527,8.71816997664618,188.484774722255,1.01533752777793,216.433995273999,698.542338631971,1.06639819130921,30.9019756876315,659.299113221934,1.26015394376843,8.64224417490409,436.16787142489,0.533333333333333,0.933333333333333
"limete",0.318307104116653,0.00108834441648978,1.06789922521942,21.6625439649771,0.644654283295979,165692.911818432,1.87367056141116,200,0.0482309780399201,2,1.00499210723347,318.984469367482,248.02037117747,1.00095099918858,961.088705717716,686.908433028891,1.00292142757655,989.866103082058,1170.44353602856,1.00560571722408,303.334690168969,252.910227985236,0.258064516129032,0.806451612903226
"maluku_i",0.289054859073531,0.000225030367307885,1.28143864844472,466.514025184374,0.912285460030974,224664.891099988,0.538590073118525,200,0.0254679440391661,2,1.05872529184963,35.5414660838299,55.2435965566098,1.00293595736625,892.798720264496,1008.04439255894,1.00800841283357,826.886356011254,1036.97581413367,1.06532868438438,40.3749558608167,58.0233219765069,0.56,0.96
"ngiri_ngiri",0.230550368987285,0.000910272691551579,1.47728447085381,13.3427454357882,0.55238622533168,122698.237915574,1.32382250885319,200,0.0512279245417104,2,1.00433166196294,408.125088148237,468.148078709884,1.00101857386224,691.044565392054,849.28012656911,1.00200960747389,850.620864899228,1074.51037453523,1.00494873498001,343.568729251099,412.011856736384,0.451612903225806,0.903225806451613
"nyiragongo",0.255179158886814,0.00368147495098608,7.84324256947329,93.4936647868148,0.133395277823938,67986.6374815819,1.30668166915549,200,0.0748933789671481,2,1.12875353256709,18.7102225503255,46.0688075033982,1.0025729548119,759.711406874698,1194.00339185708,1.04343828252226,65.9965116219649,378.277201184294,1.12919672039065,18.8732165987456,45.5404422915538,0.456521739130435,0.934782608695652
"opala",0.492042322397084,0.0223682089448378,1.22579568564395,59.3862920583448,0.0835178138645945,11617.0773551235,4.69550128871627,200,0.0148819247141578,2,1.09714996571527,23.2171342422701,26.1975060569872,1.01497333971919,429.601185130337,1518.50968063799,1.0691431089424,31.5413016372952,64.9629973091543,1.09828042292046,23.5342580859498,25.499016771374,0.307692307692308,0.923076923076923
