"hz","pop","tp_med","tp_lo","tp_hi","frac_med","frac_lo","frac_hi","R0_med","R0_lo","R0_hi","N_eff_med"
"alunguli",94109,0.01218375191199,0.0077005647446086,0.0165083814593451,0.155925507177836,0.124244231192094,0.202503158110803,4.98540126714409,3.80044067995931,6.3269916839704,14673.993554999
"bumbu",567311,0.000741721137837158,0.000270359172018088,0.0368009759119048,0.417245534534393,0.0107555235300505,0.945496212444662,0.831706121213706,0.598946541243723,1.14084475967497,236707.981442241
"goma",296096,0.0412505748737725,0.0297309318672545,0.0492775149182034,0.0480839264441092,0.0416681448312545,0.0546415895126136,5.23934640408645,3.89130646931357,6.34038323805899,14237.4582843949
"kindu",214917,0.0170978468399536,0.0106717757729177,0.0229366926865866,0.0751585761409089,0.0608302285986406,0.096642250684519,3.38557319789465,2.52277371730808,4.18750092937057,16152.8557084757
"kingabwa",287075,0.000388291917335642,0.000214723784923314,0.0244882211599558,0.784378055993453,0.0174970699069746,0.946257768594657,0.763432095293909,0.501431277142848,1.19605393992376,225175.33042432
"kirotshe",515741,0.00168538132521699,0.000715334635437893,0.00972544561159939,0.41380523082285,0.0970634057247795,0.934446428218585,1.90083393682911,1.68754768090532,2.37178713179967,213416.323549808
"kokolo",367000,0.000263009740372287,0.000167846762417145,0.0492053499252235,0.830029470385113,0.0114959293224181,0.947953315777303,0.567183219174002,0.409313652211964,1.93546571114613,304620.815631336
"limete",257026,0.00108834441648978,0.000653413200556551,0.0081186591902015,0.644654283295979,0.105557155811962,0.94561028059916,1.87367056141116,1.521642175674,2.40052674315543,165692.911818432
"maluku_i",246266,0.000225030367307885,0.0001583276607645,0.000399926786743766,0.912285460030974,0.644723077545973,0.948168713569833,0.538590073118525,0.387672563648069,0.816594868605167,224664.891099988
"ngiri_ngiri",222124,0.000910272691551579,0.000470083681161577,0.0140995017810575,0.55238622533168,0.0394171680042715,0.943918620890481,1.32382250885319,1.07942304097649,1.62958799382924,122698.237915574
"nyiragongo",509663,0.00368147495098608,0.000636273011162816,0.0133382479337522,0.133395277823938,0.0485506913152435,0.686041699993514,1.30668166915549,1.11444286191976,1.75271003393564,67986.6374815819
"opala",139097,0.0223682089448378,0.000716075364828391,0.0390578028365786,0.0835178138645945,0.0575261602433474,0.925773637449994,4.69550128871627,1.63111674870976,7.7819882381553,11617.0773551235
