time,date,cases,deaths,population,cases_pop
7,2025-01-13,15,0,515741,2.9084365989905786e-5
14,2025-01-20,5,0,515741,9.694788663301927e-6
21,2025-01-27,14,0,515741,2.71454082572454e-5
28,2025-02-03,8,0,515741,1.5511661861283087e-5
35,2025-02-10,9,0,515741,1.745061959394347e-5
42,2025-02-17,25,0,515741,4.847394331650965e-5
49,2025-02-24,95,0,515741,1.8420098460273e-4
56,2025-03-03,110,0,515741,2.1328535059264e-4
63,2025-03-10,80,0,515741,1.5511661861283e-4
70,2025-03-17,106,0,515741,2.05529519662e-4
77,2025-03-24,80,0,515741,1.5511661861283e-4
84,2025-03-31,100,0,515741,1.9389577326603e-4
91,2025-04-07,90,0,515741,1.7450619593943e-4
98,2025-04-14,61,0,515741,1.1827642169228e-4
105,2025-04-21,105,0,515741,2.0359056192934e-4
112,2025-04-28,117,0,515741,2.2685805472126e-4
119,2025-05-05,76,0,515741,1.4736078768218e-4
126,2025-05-12,63,0,515741,1.221543371576e-4
133,2025-05-19,53,0,515741,1.02764759831e-4
140,2025-05-26,45,0,515741,8.725309796971735e-5
147,2025-06-02,47,0,515741,9.113101343503814e-5
154,2025-06-09,77,0,515741,1.4929974541484e-4
161,2025-06-16,47,0,515741,9.113101343503814e-5
168,2025-06-23,41,0,515741,7.949726703907582e-5
175,2025-06-30,41,0,515741,7.949726703907582e-5
182,2025-07-07,39,0,515741,7.561935157375505e-5
189,2025-07-14,26,0,515741,5.041290104917003e-5
196,2025-07-21,34,0,515741,6.592456291045311e-5
203,2025-07-28,57,0,515741,1.1052059076164e-4
210,2025-08-04,28,0,515741,5.42908165144908e-5
217,2025-08-11,23,1,515741,4.459602785118887e-5
224,2025-08-18,38,0,515741,7.368039384109466e-5
231,2025-08-25,23,0,515741,4.459602785118887e-5
238,2025-09-08,27,0,515741,5.235185878183041e-5
245,2025-09-15,62,0,515741,1.2021537942494e-4
252,2025-09-22,99,0,515741,1.9195681553337e-4
259,2025-09-29,118,0,515741,2.2879701245392e-4
266,2025-10-06,68,0,515741,1.318491258209e-4
273,2025-10-13,90,0,515741,1.7450619593943e-4
280,2025-10-20,87,0,515741,1.6868932274145e-4
287,2025-10-27,93,0,515741,1.8032306913741e-4
294,2025-11-03,122,0,515741,2.3655284338456e-4
301,2025-11-17,163,0,515741,3.1605011042364e-4
308,2025-11-24,164,0,515741,3.179890681563e-4
315,2025-12-01,124,0,515741,2.4043075884988e-4
322,2025-12-08,105,0,515741,2.0359056192934e-4
329,2025-12-15,142,0,515741,2.7533199803777e-4
336,2025-12-22,142,0,515741,2.7533199803777e-4
